x,y,u
0,0,0
0.010101,0,0.0126848
0.020202,0,0.0253185
0.030303,0,0.0378502
0.040404,0,0.0502296
0.0505051,0,0.0624067
0.0606061,0,0.0743325
0.0707071,0,0.085959
0.0808081,0,0.0972393
0.0909091,0,0.108128
0.10101,0,0.118582
0.111111,0,0.128558
0.121212,0,0.138016
0.131313,0,0.146918
0.141414,0,0.155229
0.151515,0,0.162915
0.161616,0,0.169945
0.171717,0,0.176291
0.181818,0,0.181926
0.191919,0,0.18683
0.20202,0,0.19098
0.212121,0,0.194362
0.222222,0,0.196962
0.232323,0,0.198768
0.242424,0,0.199773
0.252525,0,0.199975
0.262626,0,0.199371
0.272727,0,0.197964
0.282828,0,0.19576
0.292929,0,0.192768
0.30303,0,0.189
0.313131,0,0.184471
0.323232,0,0.179199
0.333333,0,0.173205
0.343434,0,0.166514
0.353535,0,0.159152
0.363636,0,0.15115
0.373737,0,0.142539
0.383838,0,0.133354
0.393939,0,0.123632
0.40404,0,0.113412
0.414141,0,0.102735
0.424242,0,0.0916453
0.434343,0,0.0801861
0.444444,0,0.068404
0.454545,0,0.0563465
0.464646,0,0.0440621
0.474747,0,0.0316003
0.484848,0,0.0190112
0.494949,0,0.00634559
0.505051,0,-0.00634559
0.515152,0,-0.0190112
0.525253,0,-0.0316003
0.535354,0,-0.0440621
0.545455,0,-0.0563465
0.555556,0,-0.068404
0.565657,0,-0.0801861
0.575758,0,-0.0916453
0.585859,0,-0.102735
0.59596,0,-0.113412
0.606061,0,-0.123632
0.616162,0,-0.133354
0.626263,0,-0.142539
0.636364,0,-0.15115
0.646465,0,-0.159152
0,0.010101,-0.145414
0.010101,0.010101,-0.0530844
0.020202,0.010101,-0.00893101
0.030303,0.010101,0.0184544
0.040404,0.010101,0.03899
0.0505051,0.010101,0.0562135
0.0606061,0.010101,0.0715486
0.0707071,0.010101,0.0856307
0.0808081,0.010101,0.0987659
0.0909091,0.010101,0.111107
0.10101,0.010101,0.122731
0.111111,0.010101,0.133671
0.121212,0.010101,0.143939
0.131313,0.010101,0.153531
0.141414,0.010101,0.162438
0.151515,0.010101,0.170645
0.161616,0.010101,0.178135
0.171717,0.010101,0.184889
0.181818,0.010101,0.190891
0.191919,0.010101,0.196126
0.20202,0.010101,0.200577
0.212121,0.010101,0.204233
0.222222,0.010101,0.207084
0.232323,0.010101,0.209123
0.242424,0.010101,0.210343
0.252525,0.010101,0.210745
0.262626,0.010101,0.210327
0.272727,0.010101,0.209095
0.282828,0.010101,0.207054
0.292929,0.010101,0.204216
0.30303,0.010101,0.200593
0.313131,0.010101,0.196201
0.323232,0.010101,0.19106
0.333333,0.010101,0.18519
0.343434,0.010101,0.178617
0.353535,0.010101,0.171368
0.363636,0.010101,0.163473
0.373737,0.010101,0.154965
0.383838,0.010101,0.145879
0.393939,0.010101,0.136252
0.40404,0.010101,0.126123
0.414141,0.010101,0.115534
0.424242,0.010101,0.104529
0.434343,0.010101,0.0931516
0.444444,0.010101,0.0814484
0.454545,0.010101,0.069467
0.464646,0.010101,0.0572561
0.474747,0.010101,0.0448652
0.484848,0.010101,0.0323445
0.494949,0.010101,0.0197446
0.505051,0.010101,0.00711643
0.515152,0.010101,-0.00548896
0.525253,0.010101,-0.0180208
0.535354,0.010101,-0.0304286
0.545455,0.010101,-0.0426625
0.555556,0.010101,-0.0546734
0.565657,0.010101,-0.066413
0.575758,0.010101,-0.0778341
0.585859,0.010101,-0.0888904
0.59596,0.010101,-0.0995364
0.606061,0.010101,-0.109726
0.616162,0.010101,-0.119413
0.626263,0.010101,-0.128544
0.636364,0.010101,-0.13705
0.646465,0.010101,-0.144822
0,0.020202,-0.104741
0.010101,0.020202,-0.0438048
0.020202,0.020202,0.00040966
0.030303,0.020202,0.0326802
0.040404,0.020202,0.0577842
0.0505051,0.020202,0.0785815
0.0606061,0.020202,0.0966424
0.0707071,0.020202,0.112827
0.0808081,0.020202,0.127619
0.0909091,0.020202,0.141293
0.10101,0.020202,0.15401
0.111111,0.020202,0.165863
0.121212,0.020202,0.176905
0.131313,0.020202,0.187162
0.141414,0.020202,0.196647
0.151515,0.020202,0.205361
0.161616,0.020202,0.213299
0.171717,0.020202,0.220454
0.181818,0.020202,0.226817
0.191919,0.020202,0.232377
0.20202,0.020202,0.237124
0.212121,0.020202,0.241052
0.222222,0.020202,0.244152
0.232323,0.020202,0.24642
0.242424,0.020202,0.247854
0.252525,0.020202,0.248453
0.262626,0.020202,0.24822
0.272727,0.020202,0.247161
0.282828,0.020202,0.245283
0.292929,0.020202,0.242598
0.30303,0.020202,0.23912
0.313131,0.020202,0.234865
0.323232,0.020202,0.229853
0.333333,0.020202,0.224107
0.343434,0.020202,0.217651
0.353535,0.020202,0.210514
0.363636,0.020202,0.202727
0.373737,0.020202,0.194322
